"player1_home" "player1_away" "player2_home" "player2_away"
"1" 55.3846 97.1795 58.21360826 91.88189151
"2" 51.5385 96.0256 58.19605369 92.21498865
"3" 46.1538 94.4872 58.71823072 90.31053209
"4" 42.8205 91.4103 57.27837287 89.90760672
"5" 40.7692 88.3333 58.08202049 92.00814501
"6" 38.7179 84.8718 57.48944777 88.08528556
"7" 35.641 79.8718 28.08874132 63.51079443
"8" 33.0769 77.5641 28.08546821 63.59019695
"9" 28.9744 74.4872 28.08727305 63.12328281
"10" 26.1538 71.4103 27.57802522 62.82103866
"11" 23.0769 66.4103 27.77991911 63.51814752
"12" 22.3077 61.7949 28.58899981 63.02408057
"13" 22.3077 57.1795 28.7391415 62.72086389
"14" 23.3333 52.9487 27.02460324 62.90185886
"15" 25.8974 51.0256 28.8013367 63.38904039
"16" 29.4872 51.0256 27.18646384 63.55872965
"17" 32.8205 51.0256 29.2851466 63.38360583
"18" 35.3846 51.4103 39.4029453 51.1508572
"19" 40.2564 51.4103 28.81132844 61.35785406
"20" 44.1026 52.9487 34.30395791 56.54212591
"21" 46.6667 54.1026 29.60276098 60.15734672
"22" 50 55.2564 49.11615686 63.66000062
"23" 53.0769 55.641 39.61754583 62.92518796
"24" 56.6667 56.0256 43.23308466 63.16521872
"25" 59.2308 57.9487 64.89278794 65.81417676
"26" 61.2821 62.1795 62.49014932 74.58428961
"27" 61.5385 66.4103 68.98808443 63.23214731
"28" 61.7949 69.1026 62.10561863 75.99087076
"29" 57.4359 55.2564 32.46184674 62.88190292
"30" 54.8718 49.8718 41.32720065 49.07025127
"31" 52.5641 46.0256 44.00714993 46.44967378
"32" 48.2051 38.3333 44.07406069 34.55320389
"33" 49.4872 42.1795 44.00131524 33.90420735
"34" 51.0256 44.1026 45.00630045 38.29901955
"35" 45.3846 36.4103 44.44384061 36.0190833
"36" 42.8205 32.5641 42.1787134 26.49211948
"37" 38.7179 31.4103 44.04456562 35.66223828
"38" 35.1282 30.2564 41.64045402 27.09309542
"39" 32.5641 32.1795 41.93833001 24.99152298
"40" 30 36.7949 44.05392751 33.55639249
"41" 33.5897 41.4103 39.20671933 51.5337157
"42" 36.6667 45.641 28.70444923 61.7775254
"43" 38.2051 49.1026 31.7086629 58.83775437
"44" 29.7436 36.0256 42.81171147 30.02044842
"45" 29.7436 32.1795 43.30061489 31.5264262
